date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:27:26	100071/100071	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Nov%202025%2019:27:29%20GMT	https://shopee.com.br/Ar-condicionado-Split-Samsung-Inverter-WindFree-AI-18.000-BTUs-Quente-e-Frio-AR60F18C1AWNAZ-Branco-i.1537142489.22799030619?extraParams=%7B%22display_model_id%22%3A169721378351%2C%22model_selection_logic%22%3A3%7D&sp_atk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207&xptdk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207	C:/Users/Omar/Downloads/Shopee/shopee.com.br/Ar-condicionado-Split-Samsung-Inverter-WindFree-AI-18.000-BTUs-Quente-e-Frio-AR60F18C1AWNAZ-Branco-i.15371424893f2c.html	(from )
16:27:27	837/837	---MCZ	200	added ('OK')	text/plain	date:Mon,%2024%20Nov%202025%2019:27:30%20GMT	https://shopee.com.br/robots.txt		(from )
16:27:27	509/509	---M--	200	added ('OK')	image/png	etag:%22912d21c65a8140e91eb890d33b555966%22	https://deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/assets/icon_favicon_1_32.9cd61b2e90c0f104.png	C:/Users/Omar/Downloads/Shopee/deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/assets/icon_favicon_1_32.9cd61b2e90c0f104.png	(from https://shopee.com.br/Ar-condicionado-Split-Samsung-Inverter-WindFree-AI-18.000-BTUs-Quente-e-Frio-AR60F18C1AWNAZ-Branco-i.1537142489.22799030619?extraParams=%7B%22display_model_id%22%3A169721378351%2C%22model_selection_logic%22%3A3%7D&sp_atk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207&xptdk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207)
16:27:28	1056/1056	---M--	200	added ('OK')	image/png	etag:%22ad82a67454b5185fd1922a42053d3b8f%22	https://deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/assets/icon_favicon_1_96.1ce0e05fc18a86e5.png	C:/Users/Omar/Downloads/Shopee/deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/assets/icon_favicon_1_96.1ce0e05fc18a86e5.png	(from https://shopee.com.br/Ar-condicionado-Split-Samsung-Inverter-WindFree-AI-18.000-BTUs-Quente-e-Frio-AR60F18C1AWNAZ-Branco-i.1537142489.22799030619?extraParams=%7B%22display_model_id%22%3A169721378351%2C%22model_selection_logic%22%3A3%7D&sp_atk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207&xptdk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207)
16:27:28	32000/32000	---M-Z	200	added ('OK')	text/css	etag:%22cf1c14e9999255041d7eead27462f6e6%22	https://deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/assets/bundle.6fb9d367df53c7a2.2023.css	C:/Users/Omar/Downloads/Shopee/deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/assets/bundle.6fb9d367df53c7a2.2023.css	(from https://shopee.com.br/Ar-condicionado-Split-Samsung-Inverter-WindFree-AI-18.000-BTUs-Quente-e-Frio-AR60F18C1AWNAZ-Branco-i.1537142489.22799030619?extraParams=%7B%22display_model_id%22%3A169721378351%2C%22model_selection_logic%22%3A3%7D&sp_atk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207&xptdk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207)
16:27:28	24073/24073	---M-Z	200	added ('OK')	text/javascript	etag:%22199502352fe6dba5a245a5aa172b635e%22	https://deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/assets/webpack-runtime.5a04fee6f0356a5a.2023.js	C:/Users/Omar/Downloads/Shopee/deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/assets/webpack-runtime.5a04fee6f0356a5a.2023.js	(from https://shopee.com.br/Ar-condicionado-Split-Samsung-Inverter-WindFree-AI-18.000-BTUs-Quente-e-Frio-AR60F18C1AWNAZ-Branco-i.1537142489.22799030619?extraParams=%7B%22display_model_id%22%3A169721378351%2C%22model_selection_logic%22%3A3%7D&sp_atk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207&xptdk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207)
16:27:28	32932/32932	---M-Z	200	added ('OK')	text/javascript	etag:%22025fd4ff6b3ad82e6f51d0aa8c66708c%22	https://deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/assets/sfu-latest.dc9e406f9914cc09.2023.js	C:/Users/Omar/Downloads/Shopee/deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/assets/sfu-latest.dc9e406f9914cc09.2023.js	(from https://shopee.com.br/Ar-condicionado-Split-Samsung-Inverter-WindFree-AI-18.000-BTUs-Quente-e-Frio-AR60F18C1AWNAZ-Branco-i.1537142489.22799030619?extraParams=%7B%22display_model_id%22%3A169721378351%2C%22model_selection_logic%22%3A3%7D&sp_atk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207&xptdk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207)
16:27:28	32947/32947	---M-Z	200	added ('OK')	text/javascript	etag:%229e67c7de68b7b35c49b25c4b73a2bf74%22	https://deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/assets/sfu-stable.16e5fe9710bc4aac.2023.js	C:/Users/Omar/Downloads/Shopee/deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/assets/sfu-stable.16e5fe9710bc4aac.2023.js	(from https://shopee.com.br/Ar-condicionado-Split-Samsung-Inverter-WindFree-AI-18.000-BTUs-Quente-e-Frio-AR60F18C1AWNAZ-Branco-i.1537142489.22799030619?extraParams=%7B%22display_model_id%22%3A169721378351%2C%22model_selection_logic%22%3A3%7D&sp_atk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207&xptdk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207)
16:27:29	301894/301894	---M-Z	200	added ('OK')	text/javascript	etag:%220a7a29fb445f39b7fd71bb20d8e2b096%22	https://deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/assets/entry-modules.1a13cd41fc7f8896.2023.js	C:/Users/Omar/Downloads/Shopee/deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/assets/entry-modules.1a13cd41fc7f8896.2023.js	(from https://shopee.com.br/Ar-condicionado-Split-Samsung-Inverter-WindFree-AI-18.000-BTUs-Quente-e-Frio-AR60F18C1AWNAZ-Branco-i.1537142489.22799030619?extraParams=%7B%22display_model_id%22%3A169721378351%2C%22model_selection_logic%22%3A3%7D&sp_atk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207&xptdk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207)
16:27:29	420609/420609	---M-Z	200	added ('OK')	text/javascript	etag:%220f4c6664ebb753154a350c74c2bfcc2f%22	https://deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/assets/bundle.a2287814a3b6e04c.2023.js	C:/Users/Omar/Downloads/Shopee/deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/assets/bundle.a2287814a3b6e04c.2023.js	(from https://shopee.com.br/Ar-condicionado-Split-Samsung-Inverter-WindFree-AI-18.000-BTUs-Quente-e-Frio-AR60F18C1AWNAZ-Branco-i.1537142489.22799030619?extraParams=%7B%22display_model_id%22%3A169721378351%2C%22model_selection_logic%22%3A3%7D&sp_atk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207&xptdk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207)
16:27:30	100071/100071	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Nov%202025%2019:27:33%20GMT	https://shopee.com.br/GET	C:/Users/Omar/Downloads/Shopee/shopee.com.br/GET.html	(from https://shopee.com.br/Ar-condicionado-Split-Samsung-Inverter-WindFree-AI-18.000-BTUs-Quente-e-Frio-AR60F18C1AWNAZ-Branco-i.1537142489.22799030619?extraParams=%7B%22display_model_id%22%3A169721378351%2C%22model_selection_logic%22%3A3%7D&sp_atk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207&xptdk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207)
16:27:30	100071/100071	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Nov%202025%2019:27:33%20GMT	https://shopee.com.br/	C:/Users/Omar/Downloads/Shopee/shopee.com.br/index.html	(from https://shopee.com.br/Ar-condicionado-Split-Samsung-Inverter-WindFree-AI-18.000-BTUs-Quente-e-Frio-AR60F18C1AWNAZ-Branco-i.1537142489.22799030619?extraParams=%7B%22display_model_id%22%3A169721378351%2C%22model_selection_logic%22%3A3%7D&sp_atk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207&xptdk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207)
